"","Hour_Delay","Security_o","Airport_Distance","Number_of_flights","Support_Crew_Available","Weather","Baggage_loading_time","Late_Arrival_o"
"1",0,31,437,41300,83,5,17,19
"2",0,32,451,41516,82,5,17,19
"3",0,29,425,37404,175,5,16,17
"4",1,31,454,44798,49,6,18,19
"5",1,37,455,40643,55,6,17,19
"6",0,31,416,39707,146,5,16,19
"7",1,39,439,45627,141,5,16,19
"8",0,39,446,40415,145,5,17,18
"9",0,53,441,42248,58,6,17,19
"10",1,36,456,43453,3,6,18,19
"11",0,35,458,45677,148,5,17,18
"12",1,46,479,44826,25,6,18,19
"13",0,25,442,43420,110,6,16,19
"14",1,34,435,43774,49,5,17,18
"15",1,41,436,41059,7,5,17,19
"16",1,36,479,41678,100,6,17,20
"17",1,36,442,44390,92,6,17,19
"18",0,31,420,42055,111,5,16,19
"19",1,39,430,47861,29,6,19,20
"20",1,36,437,42652,74,6,17,19
"21",1,33,476,48873,97,6,18,20
"22",1,44,439,45130,31,6,17,19
"23",1,43,442,47463,85,5,18,19
"24",0,37,451,41798,53,5,17,19
"25",1,38,443,45784,55,6,18,19
"26",1,50,458,44658,57,5,18,19
"27",1,31,441,47323,32,5,18,20
"28",1,26,466,45470,72,5,17,19
"29",1,34,464,43637,42,5,17,20
"30",0,36,434,37687,220,5,16,17
"31",1,38,445,43944,89,6,17,19
"32",1,51,454,45855,61,5,17,20
"33",0,31,414,37461,148,5,16,18
"34",1,38,454,41726,67,5,17,18
"35",1,48,452,52765,83,6,18,19
"36",0,46,438,42817,147,5,16,18
"37",1,36,474,49648,96,6,18,20
"38",1,38,441,46969,11,5,17,18
"39",0,33,443,40484,96,6,17,18
"40",1,36,442,45388,120,5,17,19
"41",1,38,445,41647,98,5,17,19
"42",1,46,429,45799,73,6,18,19
"43",1,30,467,43914,95,6,17,19
"44",1,42,478,48485,81,6,18,19
"45",1,38,438,42170,58,5,17,19
"46",1,41,420,42278,41,5,17,20
"47",0,26,442,42912,70,6,17,19
"48",0,38,438,43670,83,5,16,19
"49",1,27,461,44934,35,5,17,19
"50",1,44,473,44467,18,6,18,20
"51",0,36,447,44102,73,5,16,18
"52",1,32,431,45636,21,5,16,19
"53",1,42,466,44498,32,6,18,19
"54",0,36,427,38936,150,6,17,18
"55",0,30,414,37212,177,5,15,17
"56",0,33,445,39319,91,5,16,18
"57",1,40,437,44826,54,6,18,20
"58",1,43,425,43992,89,6,18,19
"59",1,33,459,44524,57,5,17,19
"60",0,36,427,43738,106,5,17,19
"61",1,40,454,43460,65,5,18,20
"62",1,41,443,47063,66,6,17,20
"63",1,42,472,45162,153,6,18,20
"64",0,36,413,40703,75,5,16,18
